City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Severo-Kurilsk,RU,50.6789,156.125,35.64,63,59,26.42,broken clouds,2021-11-16 01:46:34
1,Serenje,ZM,-13.2325,30.2352,60.94,75,1,4.03,clear sky,2021-11-16 01:46:35
2,New Norfolk,AU,-42.7826,147.0587,56.75,61,96,3.0,overcast clouds,2021-11-16 01:46:35
3,Punta Arenas,CL,-53.15,-70.9167,44.71,65,20,17.27,few clouds,2021-11-16 01:46:35
4,Chancay,PE,-11.5714,-77.2672,66.33,83,99,6.31,overcast clouds,2021-11-16 01:46:36
5,Saldanha,ZA,-33.0117,17.9442,63.0,89,62,9.33,broken clouds,2021-11-16 01:46:36
6,Lompoc,US,34.6391,-120.4579,65.1,90,90,3.44,mist,2021-11-16 01:46:37
7,Xiaoshi,CN,41.2971,124.1209,32.02,46,0,0.6,clear sky,2021-11-16 01:46:37
8,Ushuaia,AR,-54.8,-68.3,44.26,65,75,21.85,broken clouds,2021-11-16 01:46:37
9,Cherskiy,RU,68.75,161.3,14.56,85,100,6.35,overcast clouds,2021-11-16 01:46:38
10,Albany,US,42.6001,-73.9662,38.75,78,13,1.99,light rain,2021-11-16 01:46:39
11,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,20,8.05,few clouds,2021-11-16 01:46:40
12,Jamestown,US,42.097,-79.2353,38.52,100,90,4.0,mist,2021-11-16 01:46:41
13,Bella Union,UY,-30.2752,-57.6007,76.12,57,23,2.98,few clouds,2021-11-16 01:46:41
14,Constitucion,CL,-35.3333,-72.4167,56.03,55,0,13.96,clear sky,2021-11-16 01:45:57
15,Hilo,US,19.7297,-155.09,84.27,86,90,12.66,light rain,2021-11-16 01:43:14
16,Coquimbo,CL,-29.9533,-71.3436,58.73,77,0,6.91,clear sky,2021-11-16 01:46:42
17,Kodiak,US,57.79,-152.4072,24.31,63,1,3.44,clear sky,2021-11-16 01:46:43
18,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,88,75,14.2,broken clouds,2021-11-16 01:46:43
19,Bell Ville,AR,-32.6259,-62.6887,67.8,88,71,19.66,broken clouds,2021-11-16 01:46:43
20,Maragogi,BR,-9.0122,-35.2225,78.6,81,51,11.25,broken clouds,2021-11-16 01:46:44
21,Bredasdorp,ZA,-34.5322,20.0403,61.29,83,100,5.97,light rain,2021-11-16 01:46:44
22,Lagoa,PT,39.05,-27.9833,66.16,85,0,17.38,clear sky,2021-11-16 01:46:45
23,Cabo San Lucas,MX,22.8909,-109.9124,83.5,74,100,2.93,overcast clouds,2021-11-16 01:46:23
24,Chuy,UY,-33.6971,-53.4616,65.95,91,2,9.86,light rain,2021-11-16 01:46:45
25,Qaanaaq,GL,77.484,-69.3632,1.9,83,100,9.48,overcast clouds,2021-11-16 01:46:46
26,Hobart,AU,-42.8794,147.3294,57.11,59,75,1.99,broken clouds,2021-11-16 01:46:46
27,Cape Town,ZA,-33.9258,18.4232,67.08,79,75,4.61,broken clouds,2021-11-16 01:41:58
28,Kapaa,US,22.0752,-159.319,82.38,77,75,1.01,broken clouds,2021-11-16 01:46:47
29,Avarua,CK,-21.2078,-159.775,77.05,78,20,4.61,few clouds,2021-11-16 01:46:47
30,Teya,RU,60.3778,92.6267,12.27,95,100,2.62,light snow,2021-11-16 01:46:48
31,Fort Nelson,CA,58.8053,-122.7002,13.59,92,90,8.05,light snow,2021-11-16 01:46:19
32,Bengkulu,ID,-3.8004,102.2655,81.37,68,97,1.63,overcast clouds,2021-11-16 01:46:48
33,Klaksvik,FO,62.2266,-6.589,49.12,93,100,37.83,overcast clouds,2021-11-16 01:46:49
34,Port Elizabeth,ZA,-33.918,25.5701,64.69,77,20,19.57,few clouds,2021-11-16 01:46:49
35,Kourou,GF,5.1552,-52.6478,82.11,86,34,6.49,scattered clouds,2021-11-16 01:46:49
36,Carnarvon,AU,-24.8667,113.6333,71.67,68,40,12.66,scattered clouds,2021-11-16 01:46:50
37,Cidreira,BR,-30.1811,-50.2056,69.3,86,36,25.21,scattered clouds,2021-11-16 01:46:50
38,Tiksi,RU,71.6872,128.8694,-7.89,92,100,5.93,overcast clouds,2021-11-16 01:46:51
39,Grootfontein,NA,-19.5667,18.1167,69.37,49,85,5.75,overcast clouds,2021-11-16 01:46:51
40,Alofi,NU,-19.0595,-169.9187,82.29,51,40,14.97,scattered clouds,2021-11-16 01:46:52
41,Mercedes,AR,-34.6515,-59.4307,72.64,84,99,6.38,overcast clouds,2021-11-16 01:46:52
42,Paita,PE,-5.0892,-81.1144,63.37,85,87,11.27,overcast clouds,2021-11-16 01:46:52
43,Arraial Do Cabo,BR,-22.9661,-42.0278,71.35,73,90,22.1,overcast clouds,2021-11-16 01:46:53
44,Mataura,NZ,-46.1927,168.8643,56.91,56,99,11.3,overcast clouds,2021-11-16 01:46:53
45,Turukhansk,RU,65.8167,87.9833,-10.41,98,99,6.67,overcast clouds,2021-11-16 01:46:54
46,Matara,LK,5.9485,80.5353,79.79,87,100,12.24,heavy intensity rain,2021-11-16 01:46:54
47,Hambantota,LK,6.1241,81.1185,77.34,100,20,5.75,few clouds,2021-11-16 01:46:54
48,Provideniya,RU,64.3833,-173.3,19.51,73,90,15.66,light snow,2021-11-16 01:46:55
49,Toora-Khem,RU,52.4675,96.11,24.44,88,100,10.16,light snow,2021-11-16 01:46:55
